,h=4.00e-04,h=2.00e-04,h=1.00e-04
2 области,"min = 1.23e-05, max = 1.84e-05","min = 1.44e-05, max = 2.03e-05","min = 1.47e-05, max = 2.10e-05"
4 области,"min = 1.29e-05, max = 3.07e-05","min = 1.08e-05, max = 1.91e-05","min = 8.66e-06, max = 1.39e-05"
8 областей,"min = 3.39e-05, max = 2.05e-04","min = 2.33e-05, max = 8.79e-05","min = 1.42e-05, max = 3.97e-05"
