h=4.00e-04,h=2.00e-04,h=1.00e-04
"min = 3.54e-05, max = 3.45e-05","min = 6.13e-05, max = 5.39e-05","min = 1.46e-05, max = 3.45e-05"
"min = 9.86e-05, max = 7.34e-05","min = 6.14e-05, max = 5.65e-05","min = 6.95e-05, max = 8.11e-05"
"min = 1.81e-04, max = 1.44e-04","min = 5.72e-05, max = 6.56e-05","min = 3.30e-05, max = 3.03e-05"
