eps_0,Количество итераций,Ошибка численного решения для sigma_r,Ошибка численного решения для sigma_phi
1e-02,14,2.21e-02,2.92e-02
1e-03,25,1.41e-02,7.17e-03
1e-04,38,1.39e-02,5.56e-03
1e-05,59,1.39e-02,5.48e-03
1e-06,88,1.39e-02,5.48e-03
