eps_0,Количество итераций,Ошибка численного решения для sigma_r,Ошибка численного решения для sigma_phi
1e-02,11,2.77e-02,4.21e-02
1e-03,32,1.40e-02,7.07e-03
1e-04,61,1.39e-02,5.50e-03
1e-05,92,1.39e-02,5.48e-03
1e-06,124,1.39e-02,5.48e-03
