eps_0,Количество итераций,Ошибка численного решения для sigma_r,Ошибка численного решения для sigma_phi
1e-02,51,2.16e-02,2.14e-01
1e-03,140,1.36e-02,3.09e-02
1e-04,243,1.39e-02,6.39e-03
1e-05,352,1.39e-02,5.51e-03
1e-06,975,1.39e-02,5.48e-03
