Шаг сетки h,u_r,sigma_r,sigma_phi
0.05,1.46e-04,2.87e-02,1.11e-02
0.025,3.58e-05,1.39e-02,5.48e-03
0.0125,1.06e-05,6.65e-03,2.67e-03
