h=4.00e-04,h=2.00e-04,h=1.00e-04
"min = 3.54e-06, max = 8.58e-06","min = 2.86e-06, max = 5.83e-06","min = 3.64e-06, max = 7.45e-06"
"min = 1.31e-05, max = 2.27e-05","min = 1.17e-05, max = 2.31e-05","min = 1.08e-05, max = 2.28e-05"
"min = 2.47e-05, max = 6.44e-05","min = 3.08e-05, max = 5.63e-05","min = 3.02e-05, max = 5.77e-05"
