h=4.00e-04,h=2.00e-04,h=1.00e-04
"min = 2.33e-05, max = 4.89e-05","min = 3.23e-05, max = 6.18e-05","min = 5.13e-05, max = 6.36e-05"
"min = 8.42e-05, max = 8.20e-05","min = 6.04e-05, max = 6.37e-05","min = 6.59e-05, max = 6.28e-05"
"min = 5.30e-04, max = 4.64e-04","min = 5.71e-04, max = 3.67e-04","min = 4.79e-04, max = 3.14e-04"
