coefconv,amnt,sigmar,sigmaphi
1e-02,8,1.19e-02,8.91e-03
1e-03,12,7.23e-03,3.29e-03
1e-04,17,7.05e-03,2.86e-03
1e-05,23,7.04e-03,2.84e-03
1e-06,31,7.04e-03,2.84e-03
