coefconv,amnt,sigmar,sigmaphi
1e-02,20,2.41e-02,4.27e-02
1e-03,38,7.41e-03,5.25e-03
1e-04,56,7.04e-03,2.88e-03
1e-05,76,7.04e-03,2.84e-03
1e-06,108,7.04e-03,2.84e-03
