index,N,theory,basic,2,4,8,16
2668,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9142,3.43,6.34,4.09,3.72,3.32,3.16,3.03
33272,12.47,44.04,18.35,15.76,14.67,12.45,10.56
127674,47.85,331.04,132.03,103.34,69.39,57.84,44.31
497796,186.58,2548.58,1067.42,813.53,571.12,304.71,189.80
