index,basic,2,4,8,16
2668,0.40,1.62,2.25,3.02,4.91
9142,1.62,6.03,7.47,9.54,14.87
33272,7.28,25.56,32.98,37.56,51.81
127674,52.39,167.57,156.05,174.52,217.39
497796,423.57,1319.15,1284.39,919.38,931.23
