Количество итераций,Ошибка численного решения для sigma_r,Ошибка численного решения для sigma_phi
51,2.16e-02,2.14e-01
140,1.36e-02,3.08e-02
243,1.39e-02,6.38e-03
353,1.39e-02,5.51e-03
1003,1.39e-02,5.48e-03
