Количество итераций,Ошибка численного решения для sigma_r,Ошибка численного решения для sigma_phi
11,2.76e-02,4.21e-02
32,1.40e-02,7.06e-03
61,1.39e-02,5.50e-03
92,1.39e-02,5.48e-03
124,1.39e-02,5.48e-03
