coefconv,amnt,sigmar,sigmaphi
1e-02,28,1.12e-02,7.84e-02
1e-03,57,7.82e-03,1.24e-02
1e-04,187,7.16e-03,4.33e-03
1e-05,494,7.04e-03,2.86e-03
1e-06,801,7.04e-03,2.84e-03
