377
1 7 1 0
7 8 16 0
8 9 65 0
9 10 103 0
10 11 107 0
11 12 758 0
12 13 761 0
13 14 763 0
14 15 766 0
15 16 768 0
16 17 770 0
17 18 772 0
18 19 775 0
19 20 777 0
20 21 779 0
21 22 781 0
22 23 784 0
23 24 786 0
24 25 789 0
25 26 791 0
26 27 793 0
27 28 795 0
28 29 798 0
29 30 800 0
30 31 803 0
31 32 805 0
32 33 808 0
33 34 810 0
34 35 813 0
35 36 815 0
36 37 818 0
37 38 820 0
38 39 822 0
39 40 824 0
40 41 827 0
41 42 829 0
42 43 832 0
43 44 834 0
44 45 837 0
45 46 839 0
46 47 842 0
47 48 844 0
48 49 847 0
49 50 849 0
50 51 851 0
51 52 853 0
52 53 856 0
53 54 858 0
54 55 861 0
55 56 863 0
56 57 866 0
57 58 868 0
58 59 871 0
59 60 873 0
60 61 876 0
61 62 878 0
62 63 880 0
63 64 882 0
64 65 885 0
65 66 887 0
66 67 889 0
67 68 891 0
68 69 894 0
69 70 896 0
70 71 898 0
71 72 900 0
72 73 903 0
73 74 905 0
74 75 907 0
75 76 909 0
76 77 912 0
77 78 914 0
78 79 916 0
79 80 918 0
80 81 921 0
81 82 923 0
82 83 926 0
83 84 372 0
84 85 27 0
85 2 6 0
2 86 5 0
86 87 7 0
87 88 10 0
88 3 4 0
3 89 3 0
89 90 18 0
90 91 362 0
91 92 373 0
92 93 375 0
93 94 377 0
94 95 379 0
95 96 382 0
96 97 384 0
97 98 386 0
98 99 388 0
99 100 391 0
100 101 393 0
101 102 396 0
102 103 398 0
103 104 401 0
104 105 403 0
105 106 406 0
106 107 408 0
107 108 411 0
108 109 413 0
109 110 415 0
110 111 417 0
111 112 420 0
112 113 422 0
113 114 424 0
114 115 426 0
115 116 429 0
116 117 431 0
117 118 434 0
118 119 436 0
119 120 438 0
120 121 440 0
121 122 443 0
122 123 445 0
123 124 448 0
124 125 450 0
125 126 452 0
126 127 454 0
127 128 457 0
128 129 459 0
129 130 462 0
130 131 464 0
131 132 466 0
132 133 468 0
133 134 471 0
134 135 473 0
135 136 476 0
136 137 478 0
137 138 480 0
138 139 482 0
139 140 485 0
140 141 487 0
141 142 490 0
142 143 492 0
143 144 494 0
144 145 496 0
145 146 499 0
146 147 501 0
147 148 504 0
148 149 506 0
149 150 508 0
150 151 510 0
151 152 513 0
152 153 515 0
153 154 518 0
154 155 520 0
155 156 522 0
156 157 524 0
157 158 527 0
158 159 529 0
159 4 532 0
4 160 757 0
160 161 755 0
161 162 752 0
162 163 750 0
163 164 747 0
164 165 745 0
165 166 742 0
166 167 740 0
167 168 737 0
168 169 735 0
169 170 732 0
170 171 730 0
171 172 728 0
172 173 726 0
173 174 723 0
174 175 721 0
175 176 718 0
176 177 716 0
177 178 714 0
178 179 712 0
179 180 709 0
180 181 707 0
181 182 704 0
182 183 702 0
183 184 700 0
184 185 698 0
185 186 695 0
186 187 693 0
187 188 690 0
188 189 688 0
189 190 686 0
190 191 684 0
191 192 681 0
192 193 679 0
193 194 676 0
194 195 674 0
195 196 672 0
196 197 670 0
197 198 668 0
198 199 666 0
199 200 663 0
200 201 661 0
201 202 658 0
202 203 656 0
203 204 653 0
204 205 651 0
205 206 648 0
206 207 646 0
207 208 644 0
208 209 642 0
209 210 640 0
210 211 638 0
211 212 635 0
212 213 633 0
213 214 630 0
214 215 628 0
215 216 625 0
216 217 623 0
217 218 620 0
218 219 618 0
219 220 616 0
220 221 614 0
221 222 611 0
222 223 609 0
223 224 606 0
224 225 604 0
225 226 601 0
226 227 599 0
227 228 597 0
228 229 595 0
229 230 592 0
230 231 590 0
231 232 587 0
232 233 585 0
233 234 583 0
234 235 581 0
235 236 578 0
236 237 576 0
237 238 574 0
238 239 572 0
239 240 569 0
240 241 567 0
241 242 565 0
242 243 563 0
243 244 560 0
